codeAssociationSortNumber|level|codeAcronym|codeOfficialTitle|codeMediumTitle|codeShortTitle|codeOfficialTitleEn|codeMediumTitleEn|codeShortTitleEn|codeNote|codeNoteEn|codeIncludes|codeIncludesAlso|codeExcludes|codeInfo|codeAdditionalInfo|codeInfoEn|codeUnitOfMeasure|parentCode|codeValidFrom|codeValidTo|codeDateCreated|codeDateModified
"707"|"5"|"SK0232502219"|"Drženice"|"Drženice"|"Drženice"|"Drženice"|"Drženice"|"Drženice"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"708"|"5"|"SK0232502227"|"Farná"|"Farná"|"Farná"|"Farná"|"Farná"|"Farná"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"709"|"5"|"SK0232502243"|"Hokovce"|"Hokovce"|"Hokovce"|"Hokovce"|"Hokovce"|"Hokovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"710"|"5"|"SK0232502251"|"Hontianska Vrbica"|"Hontianska Vrbica"|"Hontianska Vrbica"|"Hontianska Vrbica"|"Hontianska Vrbica"|"Hontianska Vrbica"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"711"|"5"|"SK0232545350"|"Hontianske Trsťany"|"Hontianske Trsťany"|"Hontianske Trsťany"|"Hontianske Trsťany"|"Hontianske Trsťany"|"Hontianske Trsťany"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"712"|"5"|"SK0232502260"|"Horná Seč"|"Horná Seč"|"Horná Seč"|"Horná Seč"|"Horná Seč"|"Horná Seč"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"713"|"5"|"SK0232502278"|"Horné Semerovce"|"Horné Semerovce"|"Horné Semerovce"|"Horné Semerovce"|"Horné Semerovce"|"Horné Semerovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"714"|"5"|"SK0232502286"|"Horné Turovce"|"Horné Turovce"|"Horné Turovce"|"Horné Turovce"|"Horné Turovce"|"Horné Turovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"715"|"5"|"SK0232502294"|"Horný Pial"|"Horný Pial"|"Horný Pial"|"Horný Pial"|"Horný Pial"|"Horný Pial"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"716"|"5"|"SK0232581895"|"Hrkovce"|"Hrkovce"|"Hrkovce"|"Hrkovce"|"Hrkovce"|"Hrkovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"717"|"5"|"SK0232502324"|"Hronovce"|"Hronovce"|"Hronovce"|"Hronovce"|"Hronovce"|"Hronovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"718"|"5"|"SK0232502332"|"Hronské Kľačany"|"Hronské Kľačany"|"Hronské Kľačany"|"Hronské Kľačany"|"Hronské Kľačany"|"Hronské Kľačany"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"719"|"5"|"SK0232502341"|"Hronské Kosihy"|"Hronské Kosihy"|"Hronské Kosihy"|"Hronské Kosihy"|"Hronské Kosihy"|"Hronské Kosihy"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"720"|"5"|"SK0232502359"|"Iňa"|"Iňa"|"Iňa"|"Iňa"|"Iňa"|"Iňa"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"721"|"5"|"SK0232502367"|"Ipeľské Úľany"|"Ipeľské Úľany"|"Ipeľské Úľany"|"Ipeľské Úľany"|"Ipeľské Úľany"|"Ipeľské Úľany"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"722"|"5"|"SK0232502375"|"Ipeľský Sokolec"|"Ipeľský Sokolec"|"Ipeľský Sokolec"|"Ipeľský Sokolec"|"Ipeľský Sokolec"|"Ipeľský Sokolec"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"723"|"5"|"SK0232502383"|"Jabloňovce"|"Jabloňovce"|"Jabloňovce"|"Jabloňovce"|"Jabloňovce"|"Jabloňovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"724"|"5"|"SK0232556777"|"Jesenské"|"Jesenské"|"Jesenské"|"Jesenské"|"Jesenské"|"Jesenské"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"725"|"5"|"SK0232502391"|"Jur nad Hronom"|"Jur nad Hronom"|"Jur nad Hronom"|"Jur nad Hronom"|"Jur nad Hronom"|"Jur nad Hronom"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"726"|"5"|"SK0232502413"|"Kalná nad Hronom"|"Kalná nad Hronom"|"Kalná nad Hronom"|"Kalná nad Hronom"|"Kalná nad Hronom"|"Kalná nad Hronom"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"727"|"5"|"SK0232502472"|"Keť"|"Keť"|"Keť"|"Keť"|"Keť"|"Keť"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"728"|"5"|"SK0232502421"|"Kozárovce"|"Kozárovce"|"Kozárovce"|"Kozárovce"|"Kozárovce"|"Kozárovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"729"|"5"|"SK0232502430"|"Krškany"|"Krškany"|"Krškany"|"Krškany"|"Krškany"|"Krškany"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"730"|"5"|"SK0232502448"|"Kubáňovo"|"Kubáňovo"|"Kubáňovo"|"Kubáňovo"|"Kubáňovo"|"Kubáňovo"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"731"|"5"|"SK0232502456"|"Kukučínov"|"Kukučínov"|"Kukučínov"|"Kukučínov"|"Kukučínov"|"Kukučínov"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"732"|"5"|"SK0232502464"|"Kuraľany"|"Kuraľany"|"Kuraľany"|"Kuraľany"|"Kuraľany"|"Kuraľany"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"733"|"5"|"SK0232502031"|"Levice"|"Levice"|"Levice"|"Levice"|"Levice"|"Levice"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"734"|"5"|"SK0232502481"|"Lok"|"Lok"|"Lok"|"Lok"|"Lok"|"Lok"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"735"|"5"|"SK0232502499"|"Lontov"|"Lontov"|"Lontov"|"Lontov"|"Lontov"|"Lontov"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"736"|"5"|"SK0232502502"|"Lula"|"Lula"|"Lula"|"Lula"|"Lula"|"Lula"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"737"|"5"|"SK0232502511"|"Málaš"|"Málaš"|"Málaš"|"Málaš"|"Málaš"|"Málaš"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"738"|"5"|"SK0232581135"|"Malé Kozmálovce"|"Malé Kozmálovce"|"Malé Kozmálovce"|"Malé Kozmálovce"|"Malé Kozmálovce"|"Malé Kozmálovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"739"|"5"|"SK0232502537"|"Malé Ludince"|"Malé Ludince"|"Malé Ludince"|"Malé Ludince"|"Malé Ludince"|"Malé Ludince"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"740"|"5"|"SK0232502570"|"Mýtne Ludany"|"Mýtne Ludany"|"Mýtne Ludany"|"Mýtne Ludany"|"Mýtne Ludany"|"Mýtne Ludany"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"741"|"5"|"SK0232502588"|"Nová Dedina"|"Nová Dedina"|"Nová Dedina"|"Nová Dedina"|"Nová Dedina"|"Nová Dedina"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"742"|"5"|"SK0232502596"|"Nový Tekov"|"Nový Tekov"|"Nový Tekov"|"Nový Tekov"|"Nový Tekov"|"Nový Tekov"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"743"|"5"|"SK0232502600"|"Nýrovce"|"Nýrovce"|"Nýrovce"|"Nýrovce"|"Nýrovce"|"Nýrovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"744"|"5"|"SK0232502618"|"Ondrejovce"|"Ondrejovce"|"Ondrejovce"|"Ondrejovce"|"Ondrejovce"|"Ondrejovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"745"|"5"|"SK0232502626"|"Pastovce"|"Pastovce"|"Pastovce"|"Pastovce"|"Pastovce"|"Pastovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"746"|"5"|"SK0232502634"|"Pečenice"|"Pečenice"|"Pečenice"|"Pečenice"|"Pečenice"|"Pečenice"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"747"|"5"|"SK0232502642"|"Plášťovce"|"Plášťovce"|"Plášťovce"|"Plášťovce"|"Plášťovce"|"Plášťovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"748"|"5"|"SK0232502651"|"Plavé Vozokany"|"Plavé Vozokany"|"Plavé Vozokany"|"Plavé Vozokany"|"Plavé Vozokany"|"Plavé Vozokany"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"749"|"5"|"SK0232502669"|"Podlužany"|"Podlužany"|"Podlužany"|"Podlužany"|"Podlužany"|"Podlužany"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"750"|"5"|"SK0232502677"|"Pohronský Ruskov"|"Pohronský Ruskov"|"Pohronský Ruskov"|"Pohronský Ruskov"|"Pohronský Ruskov"|"Pohronský Ruskov"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"751"|"5"|"SK0232502693"|"Pukanec"|"Pukanec"|"Pukanec"|"Pukanec"|"Pukanec"|"Pukanec"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"752"|"5"|"SK0232502707"|"Rybník"|"Rybník"|"Rybník"|"Rybník"|"Rybník"|"Rybník"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"753"|"5"|"SK0232502715"|"Santovka"|"Santovka"|"Santovka"|"Santovka"|"Santovka"|"Santovka"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"754"|"5"|"SK0232502723"|"Sazdice"|"Sazdice"|"Sazdice"|"Sazdice"|"Sazdice"|"Sazdice"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"755"|"5"|"SK0232502731"|"Sikenica"|"Sikenica"|"Sikenica"|"Sikenica"|"Sikenica"|"Sikenica"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"756"|"5"|"SK0232502740"|"Slatina"|"Slatina"|"Slatina"|"Slatina"|"Slatina"|"Slatina"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"757"|"5"|"SK0232502758"|"Starý Hrádok"|"Starý Hrádok"|"Starý Hrádok"|"Starý Hrádok"|"Starý Hrádok"|"Starý Hrádok"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"758"|"5"|"SK0232502766"|"Starý Tekov"|"Starý Tekov"|"Starý Tekov"|"Starý Tekov"|"Starý Tekov"|"Starý Tekov"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"759"|"5"|"SK0232502782"|"Šahy"|"Šahy"|"Šahy"|"Šahy"|"Šahy"|"Šahy"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"760"|"5"|"SK0232502791"|"Šalov"|"Šalov"|"Šalov"|"Šalov"|"Šalov"|"Šalov"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"761"|"5"|"SK0232502804"|"Šarovce"|"Šarovce"|"Šarovce"|"Šarovce"|"Šarovce"|"Šarovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"762"|"5"|"SK0232502812"|"Tehla"|"Tehla"|"Tehla"|"Tehla"|"Tehla"|"Tehla"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"763"|"5"|"SK0232502821"|"Tekovské Lužany"|"Tekovské Lužany"|"Tekovské Lužany"|"Tekovské Lužany"|"Tekovské Lužany"|"Tekovské Lužany"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"764"|"5"|"SK0232502847"|"Tekovský Hrádok"|"Tekovský Hrádok"|"Tekovský Hrádok"|"Tekovský Hrádok"|"Tekovský Hrádok"|"Tekovský Hrádok"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"765"|"5"|"SK0232502863"|"Tlmače"|"Tlmače"|"Tlmače"|"Tlmače"|"Tlmače"|"Tlmače"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"766"|"5"|"SK0232502871"|"Tupá"|"Tupá"|"Tupá"|"Tupá"|"Tupá"|"Tupá"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"767"|"5"|"SK0232502880"|"Turá"|"Turá"|"Turá"|"Turá"|"Turá"|"Turá"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"768"|"5"|"SK0232502898"|"Uhliská"|"Uhliská"|"Uhliská"|"Uhliská"|"Uhliská"|"Uhliská"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"769"|"5"|"SK0232581160"|"Veľké Kozmálovce"|"Veľké Kozmálovce"|"Veľké Kozmálovce"|"Veľké Kozmálovce"|"Veľké Kozmálovce"|"Veľké Kozmálovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"770"|"5"|"SK0232502910"|"Veľké Ludince"|"Veľké Ludince"|"Veľké Ludince"|"Veľké Ludince"|"Veľké Ludince"|"Veľké Ludince"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"771"|"5"|"SK0232502928"|"Veľké Turovce"|"Veľké Turovce"|"Veľké Turovce"|"Veľké Turovce"|"Veľké Turovce"|"Veľké Turovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"772"|"5"|"SK0232502936"|"Veľký Ďur"|"Veľký Ďur"|"Veľký Ďur"|"Veľký Ďur"|"Veľký Ďur"|"Veľký Ďur"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"773"|"5"|"SK0232502944"|"Vyškovce nad Ipľom"|"Vyškovce nad Ipľom"|"Vyškovce nad Ipľom"|"Vyškovce nad Ipľom"|"Vyškovce nad Ipľom"|"Vyškovce nad Ipľom"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"774"|"5"|"SK0232502952"|"Vyšné nad Hronom"|"Vyšné nad Hronom"|"Vyšné nad Hronom"|"Vyšné nad Hronom"|"Vyšné nad Hronom"|"Vyšné nad Hronom"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"775"|"5"|"SK0232502961"|"Zalaba"|"Zalaba"|"Zalaba"|"Zalaba"|"Zalaba"|"Zalaba"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"776"|"5"|"SK0232502979"|"Zbrojníky"|"Zbrojníky"|"Zbrojníky"|"Zbrojníky"|"Zbrojníky"|"Zbrojníky"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"777"|"5"|"SK0232502987"|"Želiezovce"|"Želiezovce"|"Želiezovce"|"Želiezovce"|"Želiezovce"|"Želiezovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"778"|"5"|"SK0232502995"|"Žemberovce"|"Žemberovce"|"Žemberovce"|"Žemberovce"|"Žemberovce"|"Žemberovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"779"|"5"|"SK0232503002"|"Žemliare"|"Žemliare"|"Žemliare"|"Žemliare"|"Žemliare"|"Žemliare"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0232"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"780"|"4"|"SK0233"|"Okres Nitra"|"Nitra"|"Nitra"|"District of Nitra"|"Nitra"|"Nitra"|"lokálna štatistická územná jednotka okres"|""|""|""|""|""|""|""|""|"SK023"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"781"|"5"|"SK0233500020"|"Alekšince"|"Alekšince"|"Alekšince"|"Alekšince"|"Alekšince"|"Alekšince"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"782"|"5"|"SK0233500046"|"Báb"|"Báb"|"Báb"|"Báb"|"Báb"|"Báb"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"783"|"5"|"SK0233581623"|"Babindol"|"Babindol"|"Babindol"|"Babindol"|"Babindol"|"Babindol"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"784"|"5"|"SK0233582697"|"Bádice"|"Bádice"|"Bádice"|"Bádice"|"Bádice"|"Bádice"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"785"|"5"|"SK0233500071"|"Branč"|"Branč"|"Branč"|"Branč"|"Branč"|"Branč"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"786"|"5"|"SK0233545589"|"Cabaj-Čápor"|"Cabaj-Čápor"|"Cabaj-Čápor"|"Cabaj-Čápor"|"Cabaj-Čápor"|"Cabaj-Čápor"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"787"|"5"|"SK0233582387"|"Čab"|"Čab"|"Čab"|"Čab"|"Čab"|"Čab"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"788"|"5"|"SK0233500101"|"Čakajovce"|"Čakajovce"|"Čakajovce"|"Čakajovce"|"Čakajovce"|"Čakajovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"789"|"5"|"SK0233500135"|"Čeľadice"|"Čeľadice"|"Čeľadice"|"Čeľadice"|"Čeľadice"|"Čeľadice"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"790"|"5"|"SK0233555886"|"Čechynce"|"Čechynce"|"Čechynce"|"Čechynce"|"Čechynce"|"Čechynce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"791"|"5"|"SK0233500160"|"Čifáre"|"Čifáre"|"Čifáre"|"Čifáre"|"Čifáre"|"Čifáre"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"792"|"5"|"SK0233582425"|"Dolné Lefantovce"|"Dolné Lefantovce"|"Dolné Lefantovce"|"Dolné Lefantovce"|"Dolné Lefantovce"|"Dolné Lefantovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"793"|"5"|"SK0233500194"|"Dolné Obdokovce"|"Dolné Obdokovce"|"Dolné Obdokovce"|"Dolné Obdokovce"|"Dolné Obdokovce"|"Dolné Obdokovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"794"|"5"|"SK0233500232"|"Golianovo"|"Golianovo"|"Golianovo"|"Golianovo"|"Golianovo"|"Golianovo"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"795"|"5"|"SK0233545635"|"Horné Lefantovce"|"Horné Lefantovce"|"Horné Lefantovce"|"Horné Lefantovce"|"Horné Lefantovce"|"Horné Lefantovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"796"|"5"|"SK0233555959"|"Hosťová"|"Hosťová"|"Hosťová"|"Hosťová"|"Hosťová"|"Hosťová"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"797"|"5"|"SK0233500313"|"Hruboňovo"|"Hruboňovo"|"Hruboňovo"|"Hruboňovo"|"Hruboňovo"|"Hruboňovo"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"798"|"5"|"SK0233558320"|"Ivanka pri Nitre"|"Ivanka pri Nitre"|"Ivanka pri Nitre"|"Ivanka pri Nitre"|"Ivanka pri Nitre"|"Ivanka pri Nitre"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"799"|"5"|"SK0233500356"|"Jarok"|"Jarok"|"Jarok"|"Jarok"|"Jarok"|"Jarok"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"800"|"5"|"SK0233500372"|"Jelenec"|"Jelenec"|"Jelenec"|"Jelenec"|"Jelenec"|"Jelenec"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"801"|"5"|"SK0233500381"|"Jelšovce"|"Jelšovce"|"Jelšovce"|"Jelšovce"|"Jelšovce"|"Jelšovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"802"|"5"|"SK0233500399"|"Kapince"|"Kapince"|"Kapince"|"Kapince"|"Kapince"|"Kapince"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0233"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
